who,what,when,where,sentences
Lisa,toast,last fall,at the cafe,Lisa ate toast last fall at the cafe.
Linda,noodle,last summer,in the station,Linda ate noodle last summer in the station.
Linda,lasagna,lately,in the park,Linda ate lasagna lately in the park.
Emma,falafel,last Sunday,at the school,Emma ate falafel last Sunday at the school.
Claire,cereal,this morning,at the restaurant,Claire ate cereal this morning at the restaurant.
Karen,cheese,last night,in the park,Karen ate cheese last night in the park.
Hannah,beef,last night,at the mall,Hannah ate beef last night at the mall.
William,toast,this evening,in the station,William ate toast this evening in the station.
Thomas,bagel,this afternoon,at the restaurant,Thomas ate bagel this afternoon at the restaurant.
David,pizza,last Wednesday,in the station,David ate pizza last Wednesday in the station.
Lisa,bagel,last Thursday,at the school,Lisa ate bagel last Thursday at the school.
Anna,rice,yesterday,in the office,Anna ate rice yesterday in the office.
Julia,chicken wings,last fall,at the school,Julia ate chicken wings last fall at the school.
Emily,banana,last Wednesday,in the office,Emily ate banana last Wednesday in the office.
Paul,doughnuts,one hour ago,on the rooftop,Paul ate doughnuts one hour ago on the rooftop.
Daniel,tacos,last Sunday,in the garden,Daniel ate tacos last Sunday in the garden.
Claire,salad,yesterday,at the mall,Claire ate salad yesterday at the mall.
Jason,steak,recently,at the school,Jason ate steak recently at the school.
Thomas,waffles,lately,in the park,Thomas ate waffles lately in the park.
Hannah,doughnuts,last Friday,on the rooftop,Hannah ate doughnuts last Friday on the rooftop.
Claire,pasta,last fall,at the school,Claire ate pasta last fall at the school.
Matthew,ravioli,this morning,at the restaurant,Matthew ate ravioli this morning at the restaurant.
Chris,omelette,last year,in the park,Chris ate omelette last year in the park.
Hannah,doughnuts,this weekend,at the mall,Hannah ate doughnuts this weekend at the mall.
Chris,apple pie,this afternoon,in the kitchen,Chris ate apple pie this afternoon in the kitchen.
Emma,hot dog,last spring,at the school,Emma ate hot dog last spring at the school.
Jennifer,rice,last week,at the restaurant,Jennifer ate rice last week at the restaurant.
Jason,fish,last Friday,at the cafe,Jason ate fish last Friday at the cafe.
Ethan,potatoes,last fall,at the restaurant,Ethan ate potatoes last fall at the restaurant.
Claire,waffles,last night,at the school,Claire ate waffles last night at the school.
Matthew,toast,yesterday,at the restaurant,Matthew ate toast yesterday at the restaurant.
William,sandwich,recently,at the restaurant,William ate sandwich recently at the restaurant.
Jason,cake,last Monday,in the garden,Jason ate cake last Monday in the garden.
Rachel,noodle,last week,in the office,Rachel ate noodle last week in the office.
Sarah,curry,last Tuesday,in the station,Sarah ate curry last Tuesday in the station.
Paul,steak,last spring,at the school,Paul ate steak last spring at the school.
Richard,risotto,last winter,in the station,Richard ate risotto last winter in the station.
Ben,waffles,last Monday,on the rooftop,Ben ate waffles last Monday on the rooftop.
Jennifer,banana,last Monday,in the garden,Jennifer ate banana last Monday in the garden.
Thomas,ravioli,last spring,in the garden,Thomas ate ravioli last spring in the garden.
Hannah,cheese,last fall,at the cafe,Hannah ate cheese last fall at the cafe.
Mary,sushi,last Friday,at the restaurant,Mary ate sushi last Friday at the restaurant.
Lucas,carbonara,two hours ago,in the station,Lucas ate carbonara two hours ago in the station.
William,waffles,last summer,at the school,William ate waffles last summer at the school.
Emily,cheese,last Monday,in the park,Emily ate cheese last Monday in the park.
Matthew,hamburger,last Wednesday,at the mall,Matthew ate hamburger last Wednesday at the mall.
Sophie,pasta,last year,in the station,Sophie ate pasta last year in the station.
William,curry,last night,in the station,William ate curry last night in the station.
Karen,chicken wings,this evening,on the rooftop,Karen ate chicken wings this evening on the rooftop.
Karen,noodle,two hours ago,at the mall,Karen ate noodle two hours ago at the mall.
Sam,ravioli,yesterday,on the rooftop,Sam ate ravioli yesterday on the rooftop.
Ben,tacos,two hours ago,in the park,Ben ate tacos two hours ago in the park.
Ethan,bagel,last night,at the cafe,Ethan ate bagel last night at the cafe.
James,salad,last Monday,at the cafe,James ate salad last Monday at the cafe.
Michael,pancakes,last week,at the mall,Michael ate pancakes last week at the mall.
Chris,lasagna,last Wednesday,at the cafe,Chris ate lasagna last Wednesday at the cafe.
Sarah,carbonara,yesterday,in the office,Sarah ate carbonara yesterday in the office.
Kimberly,chicken wings,last Wednesday,on the rooftop,Kimberly ate chicken wings last Wednesday on the rooftop.
Ethan,burrito,one hour ago,in the station,Ethan ate burrito one hour ago in the station.
Joseph,pasta,last week,at the mall,Joseph ate pasta last week at the mall.
Sam,sushi,lately,in the garden,Sam ate sushi lately in the garden.
Daniel,wok,last month,in the office,Daniel ate wok last month in the office.
Jason,potatoes,last Tuesday,in the station,Jason ate potatoes last Tuesday in the station.
Anna,curry,last Friday,in the kitchen,Anna ate curry last Friday in the kitchen.
Jessica,salad,this weekend,in the station,Jessica ate salad this weekend in the station.
Sophie,soup,last night,in the garden,Sophie ate soup last night in the garden.
Emily,hot dog,this morning,at the restaurant,Emily ate hot dog this morning at the restaurant.
Chris,chicken wings,last Wednesday,in the office,Chris ate chicken wings last Wednesday in the office.
Emily,rice,last Wednesday,at the restaurant,Emily ate rice last Wednesday at the restaurant.
Sophie,sandwich,last week,in the station,Sophie ate sandwich last week in the station.
Matthew,bagel,this afternoon,at the mall,Matthew ate bagel this afternoon at the mall.
Elizabeth,fish,this weekend,at the school,Elizabeth ate fish this weekend at the school.
Chris,noodle,last winter,at the cafe,Chris ate noodle last winter at the cafe.
Matthew,noodle,last Tuesday,on the rooftop,Matthew ate noodle last Tuesday on the rooftop.
Charles,sandwich,yesterday,in the office,Charles ate sandwich yesterday in the office.
John,cake,last Wednesday,in the garden,John ate cake last Wednesday in the garden.
John,potatoes,last month,in the garden,John ate potatoes last month in the garden.
Sam,pizza,today,in the office,Sam ate pizza today in the office.
John,toast,lately,in the garden,John ate toast lately in the garden.
Claire,bread,last Wednesday,at the cafe,Claire ate bread last Wednesday at the cafe.
David,hot dog,last Thursday,at the mall,David ate hot dog last Thursday at the mall.
Hannah,beef,today,in the garden,Hannah ate beef today in the garden.
Michael,spaghetti,last winter,at the school,Michael ate spaghetti last winter at the school.
Ethan,fish,yesterday,in the kitchen,Ethan ate fish yesterday in the kitchen.
Anna,pizza,last month,in the garden,Anna ate pizza last month in the garden.
William,noodle,last spring,at the school,William ate noodle last spring at the school.
Jason,toast,last winter,at the cafe,Jason ate toast last winter at the cafe.
Mary,cereal,last Thursday,on the rooftop,Mary ate cereal last Thursday on the rooftop.
Sam,biscuits,last year,in the office,Sam ate biscuits last year in the office.
David,potatoes,last Tuesday,at the restaurant,David ate potatoes last Tuesday at the restaurant.
Charles,wok,last fall,in the kitchen,Charles ate wok last fall in the kitchen.
Sarah,cake,last Sunday,at the restaurant,Sarah ate cake last Sunday at the restaurant.
Lauren,lasagna,last fall,at the school,Lauren ate lasagna last fall at the school.
Mark,fish,today,in the garden,Mark ate fish today in the garden.
Alice,tacos,last month,in the office,Alice ate tacos last month in the office.
Julia,nachos,last summer,in the office,Julia ate nachos last summer in the office.
John,pizza,last night,at the restaurant,John ate pizza last night at the restaurant.
Mark,curry,last winter,on the rooftop,Mark ate curry last winter on the rooftop.
Matthew,bagel,one hour ago,on the rooftop,Matthew ate bagel one hour ago on the rooftop.
Chris,burrito,today,at the mall,Chris ate burrito today at the mall.
Julia,tacos,last Sunday,in the park,Julia ate tacos last Sunday in the park.
Sarah,soup,yesterday,in the park,Sarah ate soup yesterday in the park.
Lucas,waffles,this evening,in the office,Lucas ate waffles this evening in the office.
Ethan,fried chicken,last Tuesday,at the restaurant,Ethan ate fried chicken last Tuesday at the restaurant.
Hannah,curry,today,in the kitchen,Hannah ate curry today in the kitchen.
Robert,chicken wings,last month,at the restaurant,Robert ate chicken wings last month at the restaurant.
Ethan,curry,last year,in the kitchen,Ethan ate curry last year in the kitchen.
Paul,bagel,this weekend,at the restaurant,Paul ate bagel this weekend at the restaurant.
Sam,rice,last spring,at the mall,Sam ate rice last spring at the mall.
Ben,potatoes,today,on the rooftop,Ben ate potatoes today on the rooftop.
Lisa,omelette,last fall,in the garden,Lisa ate omelette last fall in the garden.
Elizabeth,cereal,last Wednesday,in the park,Elizabeth ate cereal last Wednesday in the park.
Thomas,cheese,last Sunday,at the mall,Thomas ate cheese last Sunday at the mall.
Olivia,falafel,last night,in the garden,Olivia ate falafel last night in the garden.
Anna,steak,last fall,in the station,Anna ate steak last fall in the station.
Mark,beef,last spring,at the restaurant,Mark ate beef last spring at the restaurant.
Jennifer,carbonara,last Tuesday,in the office,Jennifer ate carbonara last Tuesday in the office.
Charles,hot dog,this weekend,in the kitchen,Charles ate hot dog this weekend in the kitchen.
Jessica,biscuits,last week,at the cafe,Jessica ate biscuits last week at the cafe.
Elizabeth,carbonara,last Monday,in the station,Elizabeth ate carbonara last Monday in the station.
Karen,soup,two hours ago,in the office,Karen ate soup two hours ago in the office.
Jennifer,fish,last year,at the school,Jennifer ate fish last year at the school.
Sophie,hot dog,yesterday,in the kitchen,Sophie ate hot dog yesterday in the kitchen.
Thomas,wok,last year,in the office,Thomas ate wok last year in the office.
Joseph,apple pie,last Saturday,in the office,Joseph ate apple pie last Saturday in the office.
Thomas,falafel,last fall,in the park,Thomas ate falafel last fall in the park.
Sarah,spaghetti,last Thursday,in the office,Sarah ate spaghetti last Thursday in the office.
Jessica,falafel,today,at the school,Jessica ate falafel today at the school.
Ethan,falafel,last Monday,on the rooftop,Ethan ate falafel last Monday on the rooftop.
Jennifer,pancakes,last month,in the kitchen,Jennifer ate pancakes last month in the kitchen.
Richard,doughnuts,yesterday,in the park,Richard ate doughnuts yesterday in the park.
Claire,cereal,last Friday,at the school,Claire ate cereal last Friday at the school.
Ben,nachos,last winter,in the park,Ben ate nachos last winter in the park.
Olivia,falafel,last year,at the school,Olivia ate falafel last year at the school.
Emily,pasta,last Friday,in the park,Emily ate pasta last Friday in the park.
Paul,hamburger,this morning,at the mall,Paul ate hamburger this morning at the mall.
Emily,fried chicken,last winter,in the kitchen,Emily ate fried chicken last winter in the kitchen.
Claire,burrito,today,in the kitchen,Claire ate burrito today in the kitchen.
Joseph,salad,last Sunday,at the school,Joseph ate salad last Sunday at the school.
Robert,pasta,one hour ago,at the school,Robert ate pasta one hour ago at the school.
Alice,bagel,lately,on the rooftop,Alice ate bagel lately on the rooftop.
Kimberly,curry,this morning,at the mall,Kimberly ate curry this morning at the mall.
Linda,ravioli,this evening,at the restaurant,Linda ate ravioli this evening at the restaurant.
David,cake,this morning,on the rooftop,David ate cake this morning on the rooftop.
Ben,chicken wings,last month,at the school,Ben ate chicken wings last month at the school.
